"transaction_id","transaction_datetime","customer_id","merchant_id","payment_channel","payment_method","transaction_amount","transaction_fee","currency","transaction_status","merchant_category","customer_region","device_type","is_fraud_flag","settlement_date"
"TXN100000","2024-05-16 16:58:17.18797","CUST1272","MER318","Bank Transfer","Debit Card","45614.52","47.04","NGN","Successful","Transport","London","Web",0,"2024-05-21"
"TXN100001","2024-12-13 00:15:26.366943","CUST1146","MER270","Bank Transfer","Debit Card","17306.9","246.74","NGN","Successful","E-commerce","Lagos","POS",0,"2024-12-13"
"TXN100002","2024-09-24 04:16:00.948964","CUST1462","MER382","Wallet","Debit Card","11625.07","283.11","NGN","Reversed","Retail","London","Mobile",0,"2024-09-26"
"TXN100003","2024-08-06 12:14:53.957638","CUST1652","MER208","Card","Credit Card","11037.98","122.6","NGN","Failed","Utilities","Abuja","Web",0,"2024-08-08"
"TXN100004","2024-02-26 22:43:23.844993","CUST1711","MER207","Wallet","Credit Card","5283.91","221.31",NULL,"Successful","Retail","Abuja","Mobile",0,"2024-02-26"
"TXN100005","2024-02-26 22:30:43.193322","CUST1417","MER280","Card","Wallet Balance","17561.49","129.12","NGN","Successful","Retail","Lagos","Mobile",0,"2024-02-28"
"TXN100006","2024-01-22 04:48:44.793336","CUST1375","MER218","Wallet","Debit Card","17071.96","155.66","NGN","Successful","Utilities","Lagos","POS",0,"2024-01-22"
"TXN100007","2024-11-12 03:42:10.933158","CUST1139","MER370","Wallet","Credit Card","21701.83","252.58",NULL,"Successful","Transport","Abuja","Web",0,NULL
"TXN100008","2024-08-07 09:46:03.010334","CUST1577","MER264","Card","Wallet Balance","50120.01","34.19","USD","Successful","Transport","Lagos","Mobile",0,"2024-08-12"
"TXN100009","2024-09-15 10:42:56.813376","CUST1115","MER366","Bank Transfer","Wallet Balance","18593.42","163.8","NGN","Successful","E-commerce","Abuja","Mobile",0,"2024-09-15"
"TXN100010","2024-01-08 12:19:12.612113","CUST1180","MER315","Card","Wallet Balance","28040.09","72.24","NGN","Successful","Retail","London","POS",0,NULL
"TXN100011","2024-12-20 00:24:37.097781","CUST1742","MER253","USSD","Wallet Balance","11844.26","108.54","USD","Successful","Retail",NULL,"Mobile",0,"2024-12-21"
"TXN100012","2024-10-30 20:11:51.120282","CUST1393","MER200","Bank Transfer","Wallet Balance","32564.61","196.88","NGN","Pending","E-commerce","Lagos","Mobile",0,"2024-10-30"
"TXN100013","2024-03-18 12:05:26.19435","CUST1220","MER337","USSD","Debit Card","6031.07","17.9","NGN","Successful","Utilities","Lagos","POS",0,"2024-03-18"
"TXN100014","2024-03-07 08:47:12.165843","CUST1097","MER334","Card","Credit Card","23456.7","182.21","NGN","Successful","Retail","Abuja","POS",0,"2024-03-07"
"TXN100015","2024-03-07 22:37:24.622738","CUST1658","MER317","Card","Debit Card","19188.95","92.2","NGN","Successful","E-commerce","Lagos","Web",0,"2024-03-07"
"TXN100016","2024-04-21 01:09:43.373972","CUST1714","MER255","Card","Debit Card","36268.85","204.15","NGN","Successful","Utilities","Lagos","Mobile",0,"2024-04-22"
"TXN100017","2024-07-10 12:51:58.827954","CUST1719","MER233","Card","Debit Card","23010.66","51.06","NGN","Reversed","Retail","Abuja","Mobile",0,"2024-07-10"
"TXN100018","2024-06-06 15:50:18.107898","CUST1565","MER246","Bank Transfer","Debit Card","14686.31","223.39","NGN","Successful","E-commerce","Port Harcourt","Web",0,"2024-06-06"
"TXN100019","2024-04-16 07:10:02.165285","CUST1322","MER232","Wallet","Debit Card","32474.77","197.24","USD","Pending","Utilities","London","Mobile",0,"2024-04-17"
"TXN100020","2024-08-11 07:49:52.887965","CUST1292","MER339","USSD","Debit Card","22783.65","291.66","NGN","Successful","Retail",NULL,"Web",0,"2024-08-11"
"TXN100021","2024-02-20 21:57:58.389523","CUST1609","MER444","Bank Transfer","Debit Card","7915.75","274.26","NGN","Successful","Utilities","London","Web",0,"2024-02-22"
"TXN100022","2024-04-16 15:11:13.636207","CUST1188","MER204",NULL,"Wallet Balance","15376.94","92.16","NGN","Successful","Utilities","Lagos","POS",0,"2024-04-16"
"TXN100023","2024-05-13 17:19:47.09011","CUST1016","MER404","USSD","Debit Card","7147.54","17.92","NGN","Failed","Hospitality","London","Mobile",0,"2024-05-18"
"TXN100024","2024-06-15 11:10:23.022269","CUST1397","MER322","Wallet","Wallet Balance","21610.97","200.06","NGN","Successful","E-commerce","Abuja","Mobile",0,"2024-06-17"
"TXN100025","2024-10-13 14:08:29.11849","CUST1614","MER322","Bank Transfer","Debit Card","23223.27","184.84","NGN","Reversed","Transport","Abuja","Mobile",0,"2024-10-16"
"TXN100026","2024-03-13 21:08:32.394146","CUST1636","MER249","Card","Wallet Balance","45499.49","17.95","NGN","Successful","Retail","Manchester","Web",0,"2024-03-13"
"TXN100027","2024-07-06 16:41:37.249812","CUST1423","MER264","Card","Wallet Balance","15147.8","45.58","NGN","Successful","Hospitality","London","Web",0,"2024-07-06"
"TXN100028","2024-08-04 05:33:05.843633","CUST1291","MER347","USSD","Wallet Balance","13465.82","179.56","USD","Successful","E-commerce","Port Harcourt","Mobile",0,"2024-08-04"
"TXN100029","2024-01-17 22:54:20.215538","CUST1162","MER230","Card","Wallet Balance","4862.25","274.43","USD","Successful","Retail","Lagos","Mobile",0,"2024-01-22"
"TXN100030","2024-08-09 18:05:34.449564","CUST1718","MER203","Card","Debit Card","15139.25","272.89","NGN","Successful","Retail","Manchester","Web",0,"2024-08-10"
